,Sentences,Predicted Class,True Class,Probabilities
1367,"Awesome mini-series, my third time watching it.",positive,positive,"[0.015639416873455048, 0.05324161425232887, 0.9311189651489258]"
1368,HEAVEN WILL BE A MUCH FUNNIER PLACE. THANK YOU FOR ALL THE LAUGHTER ROBIN,positive,positive,"[0.030042914673686028, 0.1357475072145462, 0.8342095613479614]"
1369,Swashbuckling fun!!!,positive,positive,"[0.031718023121356964, 0.06385532021522522, 0.9044266939163208]"
1370,Awesome new Priest. Can't wait to hear the new tunes live.,positive,positive,"[0.01607302948832512, 0.0435926653444767, 0.9403343200683594]"
1371,Good gameplay but the time it makes you wait is unbearable,neutral,neutral,"[0.18334370851516724, 0.7863922119140625, 0.030264105647802353]"
1372,Best calculation app I have used to date,positive,positive,"[0.019427865743637085, 0.062240924686193466, 0.9183312654495239]"
1373,Wasn't that great of a movie. I enjoyed the military.,neutral,negative,"[0.09503435343503952, 0.8703166842460632, 0.03464902564883232]"
1374,The graphics are bright and cheery.,positive,neutral,"[0.05044843629002571, 0.40211689472198486, 0.5474346876144409]"
1375,Engaging right up until the end.  Terrible ending.,negative,negative,"[0.8022037744522095, 0.17326894402503967, 0.024527307599782944]"
1376,Works OK... Nothing great or all that different,neutral,neutral,"[0.2870739698410034, 0.6844719052314758, 0.028454134240746498]"
1377,Takes a lot.of energy a d you have to wait or buy energy,neutral,negative,"[0.09906699508428574, 0.7609714269638062, 0.1399616301059723]"
1378,after u run torr a while /t gets very boring its only good lt u want to kill some free time,negative,neutral,"[0.7028671503067017, 0.27438947558403015, 0.02274329587817192]"
1379,so smll cnt see very well on phone put these pps so cn do on computer!youd hve more plyers i no itQ!,negative,neutral,"[0.5761005282402039, 0.30856043100357056, 0.1153390035033226]"
1380,"terrible thought it was like a video game, regret getting both of them",negative,negative,"[0.8573071360588074, 0.12482958287000656, 0.017863256856799126]"
1381,If you must watch it then rent it. This is one of the worst movies I have ever attempted to watch.,negative,negative,"[0.9110634922981262, 0.062419191002845764, 0.026517288759350777]"
1382,Excellent recording of Mahler's 8.symphony wonderful chorus well conducted by Gustavo Dudamel!,positive,positive,"[0.016787150874733925, 0.050738755613565445, 0.9324741363525391]"
1383,Good story but missing a good flow in the telling.,neutral,neutral,"[0.055696070194244385, 0.9085858464241028, 0.035718150436878204]"
1384,it doesn't work every time I try to use it i can't like it if I can't use it at all,negative,negative,"[0.8941596746444702, 0.09182436764240265, 0.014016018249094486]"
1385,"Fun and addicting, great for all ages",positive,positive,"[0.014730537310242653, 0.050902847200632095, 0.9343666434288025]"
1386,One disk was scratched.,negative,neutral,"[0.8287794589996338, 0.15024957060813904, 0.0209710281342268]"
1387,Get  this stimulating music in your collection,positive,positive,"[0.016459550708532333, 0.05927408114075661, 0.9242663383483887]"
1388,Was a good movie with a lot of graphics. Good guy movie. Lol,positive,neutral,"[0.02890891768038273, 0.3349483907222748, 0.6361427307128906]"
1389,I have always  love her stories but I have to agree  with the negative comments,neutral,negative,"[0.30849966406822205, 0.6121370792388916, 0.07936319708824158]"
1390,This product was a good purchase ' however it has never came.,neutral,negative,"[0.4472319185733795, 0.5034945011138916, 0.04927358403801918]"
1391,No real guts to the story,negative,neutral,"[0.8147853016853333, 0.16325774788856506, 0.021957051008939743]"
1392,Too limited in scope - I prefer to use the smartphone application or the full screen.,negative,neutral,"[0.6317722797393799, 0.35027197003364563, 0.017955714836716652]"
1393,yawn.....cool....yawn......its ok.,neutral,neutral,"[0.2864990532398224, 0.6743619441986084, 0.03913898393511772]"
1394,Great buy amazing movie,positive,neutral,"[0.017910173162817955, 0.037795644253492355, 0.9442941546440125]"
1395,movie stopped and started many times,negative,negative,"[0.8251858949661255, 0.15241748094558716, 0.022396665066480637]"
1396,"It was OK, but hasn't been watch again.",neutral,neutral,"[0.1369091272354126, 0.8236575722694397, 0.03943328931927681]"
1397,"Totally worth watching, especially with my prime membership.",positive,neutral,"[0.02003876492381096, 0.14617805182933807, 0.8337832093238831]"
1398,I have lots of fun playing this game I can't put it down only problem is I lag,neutral,positive,"[0.12360475212335587, 0.5073471665382385, 0.3690480589866638]"
1399,I think it is boring.,negative,negative,"[0.7814428210258484, 0.20341856777668, 0.01513861957937479]"
1400,This item came and was incredibly scratched and it skipped tracks.,negative,negative,"[0.8527058362960815, 0.13158369064331055, 0.01571052521467209]"
1401,typical segal,neutral,neutral,"[0.2843511700630188, 0.6489692330360413, 0.06667958199977875]"
1402,not a bad moving  different than any Arnold movie,neutral,positive,"[0.07865863293409348, 0.8661066889762878, 0.05523467808961868]"
1403,Fun game but takes patience and money!!!!,neutral,positive,"[0.04313206300139427, 0.5297939777374268, 0.42707401514053345]"
1404,it was ok i dont get level 5 so anoying i wouldnt it play it if i were you dont play it,neutral,neutral,"[0.47770577669143677, 0.4823712110519409, 0.03992299735546112]"
1405,Funny but what could top the first two movies. It's worth the hour and half if you need a laugh,neutral,neutral,"[0.041991278529167175, 0.7663614749908447, 0.1916472315788269]"
1406,"Not fun for me, Don't see the big deal.",negative,negative,"[0.7655377388000488, 0.2191247195005417, 0.015337555669248104]"
1407,I was disappointed it seemed as though all three stars were just reading their lines no chemistry,negative,negative,"[0.5769922137260437, 0.3981349766254425, 0.024872787296772003]"
1408,Wonderfully enchanting!,positive,positive,"[0.01744255982339382, 0.04005895182490349, 0.942498505115509]"
1409,Won't even open. I'd like to try it but all it will do is start to open then stop. :(,negative,negative,"[0.8781273365020752, 0.10395590215921402, 0.01791672594845295]"
1410,Just a weird movie.,negative,negative,"[0.6701509356498718, 0.3064403831958771, 0.023408589884638786]"
1411,Addictive and  fun,positive,positive,"[0.018359050154685974, 0.0614076666533947, 0.9202332496643066]"
1412,One of my favorite albums. Lot of memories n life saver,positive,positive,"[0.016873786225914955, 0.05955412611365318, 0.9235721230506897]"
1413,Found the time line difficult to follow,negative,neutral,"[0.560478687286377, 0.4158748984336853, 0.023646458983421326]"
1414,Apparently it needs to be updated.,neutral,neutral,"[0.2792026996612549, 0.6825464367866516, 0.03825083374977112]"
1415,Difficult to set up.  Will trade for Fire Stick.,negative,negative,"[0.7022528052330017, 0.27883216738700867, 0.018915005028247833]"
1416,You can't turn the pieces. Tapping the piece doesn't work. Very frustrating.  Nice pics though.,negative,negative,"[0.7410302758216858, 0.24203816056251526, 0.01693153940141201]"
1417,SMALLER THAN I EXPECTED,neutral,neutral,"[0.4707808792591095, 0.4871672987937927, 0.04205179214477539]"
1418,"Nice collection, fast shipping.",positive,positive,"[0.017029238864779472, 0.11324428766965866, 0.8697265386581421]"
1419,"Not as good as I had hoped, but it does have some good stand alone songs, but overall not the best.",neutral,neutral,"[0.08902013301849365, 0.8771149516105652, 0.03386494517326355]"
1420,Excellent app and will use frequently.,positive,positive,"[0.02037813328206539, 0.10980155318975449, 0.8698202967643738]"
1421,More Birds to accomplish the objective,positive,positive,"[0.09676126390695572, 0.32300999760627747, 0.5802287459373474]"
1422,did not realize it was abridged!!!,negative,neutral,"[0.7960634231567383, 0.12828022241592407, 0.07565640658140182]"
1423,all was great,positive,positive,"[0.02131069079041481, 0.10084616392850876, 0.8778432011604309]"
1424,I couldnt put it down. Interesting twist in the epilogue.,neutral,positive,"[0.07687170803546906, 0.6809082627296448, 0.24222002923488617]"
1425,"This stupid game keeps re installing itself, no matter how man times I uninstall... pissing me off",negative,negative,"[0.9246131181716919, 0.05513497814536095, 0.020251907408237457]"
1426,Best presentation of the sleeping beauty suite I've ever found,positive,positive,"[0.01975712552666664, 0.04855474829673767, 0.931688129901886]"
1427,Just started out on this game.  I am enjoying it so far.,positive,neutral,"[0.01802036538720131, 0.09384183585643768, 0.8881378173828125]"
1428,Not impressed with game,neutral,negative,"[0.32563090324401855, 0.6463659405708313, 0.028003163635730743]"
1429,This game is awesome and cool you will love it is really easy you should all try it download it now,positive,positive,"[0.015073355287313461, 0.044463466852903366, 0.9404631853103638]"
1430,Ok nothing special.,neutral,neutral,"[0.3226705491542816, 0.6496768593788147, 0.027652611956000328]"
1431,Very interesting historical fiction.,positive,positive,"[0.020381441339850426, 0.1101963147521019, 0.869422197341919]"
1432,I never received my kelly clarkson cd I am still waiting    where is my product?,negative,negative,"[0.835838258266449, 0.1128399595618248, 0.05132182687520981]"
1433,A little slow but good,neutral,neutral,"[0.04539334028959274, 0.8882138729095459, 0.06639271974563599]"
1434,Takes too long to achieve anything,negative,neutral,"[0.8416412472724915, 0.13966478407382965, 0.01869398169219494]"
1435,I got this as a gift.  The reader reports that this is an excellent book.,positive,positive,"[0.01672222465276718, 0.08279254287481308, 0.9004852175712585]"
1436,Great.  A lot of fun.,positive,positive,"[0.0184756089001894, 0.1196184977889061, 0.8619059324264526]"
1437,I find this whole controversy about this book hilarious.,negative,negative,"[0.7337139844894409, 0.1901470571756363, 0.07613890618085861]"
1438,"Enjoyed immensely, especially the historical aspoects",positive,negative,"[0.029778169468045235, 0.20136351883411407, 0.7688582539558411]"
1439,Cannot seem to ever &#34;win&#34;!!!,negative,neutral,"[0.7841323018074036, 0.11851490288972855, 0.09735286980867386]"
1440,"Kind of out there,but entertaining.<br />B+",neutral,neutral,"[0.05420411378145218, 0.8880746364593506, 0.05772129073739052]"
1441,Too slippy during raining days when you steps on mosaic floors.,negative,negative,"[0.7799407243728638, 0.20164646208286285, 0.01841285079717636]"
1442,We have twin grandchildren boy and girl they both loved the princess!,positive,neutral,"[0.022762803360819817, 0.054899122565984726, 0.9223381280899048]"
1443,it was a funny movie when i first saw it several years ago .it is still funny today .thanks amazon.,positive,positive,"[0.021547717973589897, 0.1237330436706543, 0.8547192811965942]"
1444,The box is broke all to pieces... just a mess,negative,negative,"[0.8893724679946899, 0.09539592266082764, 0.0152317238971591]"
1445,"Love this movie!But the copy I got would not play in my DVD player!Thanks for nothin\\""!",positive,negative,"[0.24617059528827667, 0.20072144269943237, 0.5531079769134521]"
1446,"Cute game, but too challenging as you get further along in the levels.",neutral,neutral,"[0.04570297524333, 0.8898088335990906, 0.06448826193809509]"
1447,I like both of these artist & they made a good one here.,positive,positive,"[0.023123424500226974, 0.13014359772205353, 0.8467329740524292]"
1448,four out of five stars,neutral,positive,"[0.12781718373298645, 0.4403751790523529, 0.43180760741233826]"
1449,"Some old songs i grew up with, saw the movie and had to have this. great songs from a great time!",positive,positive,"[0.017279723659157753, 0.05665802210569382, 0.9260622262954712]"
1450,Very unsatifying book many unanswered issues.,negative,negative,"[0.6988932490348816, 0.1997230499982834, 0.1013837680220604]"
1451,Lots of blood,neutral,neutral,"[0.415030837059021, 0.4280867278575897, 0.1568823605775833]"
1452,great movie exciting dramatic great acting,positive,positive,"[0.014541453681886196, 0.04438014328479767, 0.9410783648490906]"
1453,This was a bit different from her first CD.  I'm disappointed...,neutral,negative,"[0.43624529242515564, 0.5280476808547974, 0.035707026720047]"
1454,"Pretty fun game for a little while, but eventually it becomes stagnant.",neutral,neutral,"[0.17109228670597076, 0.8032225370407104, 0.02568514458835125]"
1455,Just a bunch of stupid humping... Might as well watch porn,negative,negative,"[0.8915761113166809, 0.09112019836902618, 0.017303740605711937]"
1456,I put it behind the bathroom door and haven't touched it again.,negative,negative,"[0.8655070066452026, 0.11398428678512573, 0.020508717745542526]"
1457,Who doesn't love Elliot Smith? This is one of my favorite albums by him. Check it out!,positive,positive,"[0.02863725833594799, 0.060150161385536194, 0.9112125039100647]"
1458,Buffers a ton and needs a LOT of wi fi to actually work but other than that it's pretty good,neutral,neutral,"[0.04466085135936737, 0.8760513663291931, 0.07928772270679474]"
1459,My grandson needed to read this book over the summer for school and he liked it.,positive,positive,"[0.034628137946128845, 0.29201632738113403, 0.6733555197715759]"
1460,"It's a fun engaging game if you like puzzles: which, I do",positive,positive,"[0.026970183476805687, 0.3213164210319519, 0.6517133712768555]"
1461,When I want it to turn on to watch vids it won't melt me even get on it. Don't bother with this app,negative,negative,"[0.8304198980331421, 0.11563677340745926, 0.05394333600997925]"
1462,"As with all other Michael Connelly books, this one was wonderful.",positive,positive,"[0.020344693213701248, 0.10547374933958054, 0.8741815686225891]"
1463,Good follow up album but not as original as their first,neutral,positive,"[0.05135156586766243, 0.8751426339149475, 0.07350586354732513]"
1464,"The plot was fine, but the casting left much to be desired.",neutral,neutral,"[0.1068279966711998, 0.8572791814804077, 0.035892851650714874]"
1465,A really horrible book on every level,negative,negative,"[0.9015941023826599, 0.06928448379039764, 0.029121441766619682]"
1466,Very good read.  I read this and gave it to our local library.  Well written.,positive,positive,"[0.015907617285847664, 0.0751681700348854, 0.9089242219924927]"
1467,"Good special effects, weak story line.",neutral,negative,"[0.41333404183387756, 0.5614403486251831, 0.025225620716810226]"
1468,the reason why i put 5 stars is because it made me want to mnext season great story great show,positive,positive,"[0.022098973393440247, 0.06714096665382385, 0.9107600450515747]"
1469,Truly fiction -- very tricky when dealing with Biblical topics.,neutral,negative,"[0.1275053173303604, 0.762673020362854, 0.10982155799865723]"
1470,My kids love this game and have for years!,positive,positive,"[0.016262466087937355, 0.03504867106676102, 0.9486889243125916]"
1471,I didn't read this too well. I don't have a kindle Fire to play it on,negative,negative,"[0.810756266117096, 0.17487573623657227, 0.014368084259331226]"
1472,"No issues , works fine on htc one x and galaxy s3 . No bugs whatsoever. This is a great app",positive,positive,"[0.020629508420825005, 0.1186031848192215, 0.8607673048973083]"
1473,To much vulgar language for me.,negative,neutral,"[0.8985530138015747, 0.08390197157859802, 0.017545070499181747]"
1474,The first 3/4 of the movie was boring then it got a little bit interesting then the end sucked...,negative,negative,"[0.6540871858596802, 0.32756635546684265, 0.018346522003412247]"
1475,Best show ever !!,positive,positive,"[0.02123146690428257, 0.03531419858336449, 0.9434543251991272]"
1476,the game is awesome it has awsome moves,positive,positive,"[0.017050381749868393, 0.0749816745519638, 0.9079679846763611]"
1477,It's a nice game when there is not much going on help to pass a little time,neutral,positive,"[0.04053319990634918, 0.7880076766014099, 0.17145907878875732]"
1478,these dolls are pretty unstable and cannot stand on their own without the playset.,negative,neutral,"[0.7618997097015381, 0.22157520055770874, 0.016525039449334145]"
1479,Really a good premise and good acting. It keeps me wanting more. A great BBC production,positive,positive,"[0.017040163278579712, 0.10885244607925415, 0.8741074204444885]"
1480,I'm not sure what the hype is about...the book is ok. That's it. Just ok.,neutral,neutral,"[0.35376405715942383, 0.6238452196121216, 0.02239079400897026]"
1481,"Quirky, fun, great cast of characters!",positive,neutral,"[0.0139369061216712, 0.04447273164987564, 0.9415903687477112]"
1482,"This is a good CD, but I still like Nat's renditions best....Good  tribute thought",positive,neutral,"[0.03705379739403725, 0.34642913937568665, 0.6165170669555664]"
1483,"It was decent, but not stellar.",neutral,neutral,"[0.08442842960357666, 0.8883471488952637, 0.027224501594901085]"
1484,"This camera kept crashing, it was pure junk and I would not recommend it to anyone.",negative,negative,"[0.9195346832275391, 0.06727810204029083, 0.013187116011977196]"
1485,Easy and fun read.,positive,neutral,"[0.01931660622358322, 0.1395699828863144, 0.8411133885383606]"
1486,Automatically stretches scanned images to fit the page. No options. Unusable.,negative,negative,"[0.906670868396759, 0.07775849103927612, 0.01557066012173891]"
1487,High quality book. As expected,positive,positive,"[0.027685929089784622, 0.19974404573440552, 0.7725699543952942]"
1488,"one of the best albums i have heard in a long time, powerful, raw and haunting i'm obsessed with it.",positive,positive,"[0.01824815571308136, 0.049374502152204514, 0.9323773384094238]"
1489,"slow, very slow. Hard to like any of the characters. Painfully predictable.",negative,negative,"[0.8656410574913025, 0.11926537752151489, 0.015093577094376087]"
1490,Cutest little game,positive,positive,"[0.05258282646536827, 0.11148963868618011, 0.8359275460243225]"
1491,Fun game but asks for too much money!,neutral,negative,"[0.20707660913467407, 0.7297264933586121, 0.06319686025381088]"
1492,One star. The language is inappropriate nor does it foster open mindedness to a malleable age group.,negative,negative,"[0.8983592391014099, 0.08278129249811172, 0.018859494477510452]"
1493,Tried it once. Not really the most helpful for smartphone blunders in pictures.,neutral,neutral,"[0.34908756613731384, 0.6243473291397095, 0.0265650674700737]"
1494,I truly wonder if KC wrote this book. I want a refund!,positive,negative,"[0.06162574887275696, 0.08822444081306458, 0.8501498699188232]"
1495,This set was adorable!  I love turbo and the little toy snail is adorable.,positive,positive,"[0.02055530808866024, 0.0461868979036808, 0.9332577586174011]"
1496,OK if it works for you.,neutral,neutral,"[0.05760110914707184, 0.8861380219459534, 0.05626080557703972]"
1497,helpful book,positive,positive,"[0.03746875375509262, 0.2776223421096802, 0.6849088668823242]"
1498,I love my Fire HD 7.  I use it for books and for watching netflix.,positive,positive,"[0.018994232639670372, 0.049736663699150085, 0.9312691688537598]"
1499,"love this album, bought it twice. once for me and again for my daughter in law.  We both love Babs.",positive,positive,"[0.017965011298656464, 0.04948754608631134, 0.932547390460968]"
1500,I loved this book.  It inspired me to read the Outlander series.,positive,positive,"[0.016736535355448723, 0.0557156465947628, 0.927547812461853]"
1501,I think it is the weakest Reacher story so far. Still quite good but not up to earlier standard.,neutral,neutral,"[0.13349878787994385, 0.8368930220603943, 0.02960815466940403]"
1502,is a great app. many games and more for you or your kids.  I like to play it all the time.,positive,positive,"[0.015908358618617058, 0.06688588112592697, 0.9172057509422302]"
1503,Incredibly dumb. If I used more of my brain I would have stopped watching this terrible movie.,negative,negative,"[0.9265342950820923, 0.05635320022702217, 0.017112458124756813]"
1504,It will no load on my kindle fire! I have deleted it and re-downloaded it twice.,negative,negative,"[0.9192086458206177, 0.05686277523636818, 0.023928629234433174]"
1505,Did not fit flashlite bought at same time. Too small. Returned holster for refund.,negative,negative,"[0.9008596539497375, 0.08414673805236816, 0.014993571676313877]"
1506,Won&#34;t open,positive,negative,"[0.19043129682540894, 0.23637156188488007, 0.5731971859931946]"
1507,This is a bit too scientific.  Not really what I expected.,negative,neutral,"[0.5688061714172363, 0.4140876531600952, 0.017106197774410248]"
1508,So long. So wordy. Stopped caring. I loved it at first but by the end...I just did not care anymore.,negative,neutral,"[0.8767484426498413, 0.10508694499731064, 0.018164638429880142]"
1509,"Wow great movie, will watch this again!",positive,positive,"[0.016214516013860703, 0.03765816241502762, 0.9461272954940796]"
1510,A little tough for the average person.,neutral,neutral,"[0.061451517045497894, 0.8954027891159058, 0.04314567521214485]"
1511,The way music is to be made. Takes me back in time when I hear it. Pure pleasure to my ears.,positive,positive,"[0.020442141219973564, 0.06148786470293999, 0.9180699586868286]"
1512,"Present for my 10 year old daughter, she loved the movie.",positive,positive,"[0.016852110624313354, 0.052499257028102875, 0.9306486248970032]"
1513,"Don't waste your money, just re-read book #1. This really adds nothing.",negative,negative,"[0.7788729667663574, 0.17723338305950165, 0.04389365762472153]"
1514,Better than some people though; not as good as I'd hoped. Good movie to veg out to.,neutral,neutral,"[0.047915369272232056, 0.8987714648246765, 0.05331317335367203]"
1515,Pretty racy and story seems to move a little slow,neutral,neutral,"[0.14280718564987183, 0.8319863677024841, 0.02520640380680561]"
1516,Too much profanity for my taste.  Didn't care for the He said then She said chapter turns.,negative,neutral,"[0.8952662348747253, 0.09030710160732269, 0.014426682144403458]"
1517,Great summer read. Page turner!,positive,positive,"[0.014432350173592567, 0.03921719640493393, 0.9463505148887634]"
1518,"Brad Pitt is always worth a look, no?",neutral,neutral,"[0.28706151247024536, 0.5490357279777527, 0.16390272974967957]"
1519,My least favorite of the three &#34;Toy Story&#34; movies.,positive,neutral,"[0.1441764533519745, 0.2677296996116638, 0.5880938172340393]"
1520,Do not install this spyware - gathers personal data,negative,negative,"[0.9058287143707275, 0.06453581154346466, 0.029635408893227577]"
1521,The story did not keep me interested until the final two chapters.,neutral,negative,"[0.38808417320251465, 0.5879693031311035, 0.023946525529026985]"
1522,"Slow to get going, kind of hard to stay interested.",negative,neutral,"[0.6067105531692505, 0.37524476647377014, 0.018044685944914818]"
1523,Thoroughly enjoyed this book. An interesting read.,positive,neutral,"[0.018494820222258568, 0.0984421819448471, 0.8830629587173462]"
1524,I all ready deleted the app.  It gave me a different age every time I used it.  Waste of memory.,negative,negative,"[0.9269772171974182, 0.057047244161367416, 0.01597543992102146]"
1525,OK I GUESS.,neutral,neutral,"[0.08688272535800934, 0.8641217350959778, 0.04899545758962631]"
1526,"Loved it! We love all the marvel movies. If you like them, this on will not disappoint you.",positive,positive,"[0.016714125871658325, 0.03916199877858162, 0.9441239237785339]"
1527,"This is my first app game and I can't figure out how to play it, maybe tomorrow.",neutral,neutral,"[0.3589184284210205, 0.47342970967292786, 0.16765183210372925]"
1528,"Not happy. Stated HBO access, have to pay to access",negative,negative,"[0.8697361946105957, 0.11640289425849915, 0.013860943727195263]"
1529,A little generic but not bad. And the price isnt too bad either,neutral,positive,"[0.07289904356002808, 0.8904564380645752, 0.03664448857307434]"
1530,This is an amazing game! When I start playing it I can't get off it! I recommend this to everyone!,positive,positive,"[0.016706665977835655, 0.03327617794275284, 0.9500171542167664]"
1531,"Frankly, it's a dead loss. Lots of action, but very disjointed plot. Hard to follow.",negative,negative,"[0.500462532043457, 0.482988566160202, 0.016548970714211464]"
1532,Great British drama about WWI. Heartrending.,positive,positive,"[0.01720227673649788, 0.05651683360338211, 0.9262808561325073]"
1533,I even bought it,negative,positive,"[0.7424177527427673, 0.1976720094680786, 0.05991021543741226]"
1534,Luke Evans is one of the best Draculas I've seen since Bella Lugosi. Loved it.,positive,positive,"[0.016993962228298187, 0.05252959206700325, 0.9304764270782471]"
1535,Can't get a Enough<br />of this awesome game,positive,positive,"[0.030715212225914, 0.05632704123854637, 0.9129577279090881]"
1536,Just too boring...,negative,negative,"[0.8592208027839661, 0.1257948875427246, 0.014984275214374065]"
1537,Most god awful movie ever,negative,negative,"[0.7878333926200867, 0.08643660694360733, 0.12573008239269257]"
1538,Never could get it to install so I never got to play it and really wanted to.,negative,negative,"[0.784631609916687, 0.18924768269062042, 0.02612069807946682]"
1539,It did not play in my blue ray,negative,negative,"[0.8956999778747559, 0.08459512889385223, 0.019704891368746758]"
1540,I wish that I could return it... wasn't worth the money.,negative,negative,"[0.9000036120414734, 0.08312848210334778, 0.016867926344275475]"
1541,Poor Quality! worked for just one week!,negative,negative,"[0.9242052435874939, 0.06074061989784241, 0.01505419984459877]"
1542,Pay to win BS time sink,negative,negative,"[0.7737401723861694, 0.15643657743930817, 0.06982322782278061]"
1543,"What a weird, weird movie. It is no wonder I had never heard of it before. I want my time back.",negative,negative,"[0.6325964331626892, 0.29789483547210693, 0.06950873136520386]"
1544,Some stories just shouldn't be messed with.,neutral,negative,"[0.38242730498313904, 0.5827683210372925, 0.034804411232471466]"
1545,great way to bounce items to the TV from a tablet or laptop.,positive,neutral,"[0.02161073312163353, 0.16123875975608826, 0.8171504735946655]"
1546,"I love this app. Its cool. Im not one for apps like this, but this one is a keeper. Its fun.",positive,positive,"[0.019055016338825226, 0.10775931179523468, 0.8731857538223267]"
1547,Need some work but not bad. Thanks!,neutral,positive,"[0.04694504663348198, 0.7186120748519897, 0.23444285988807678]"
1548,"Generally positive.  However, I do have to occasionally delete and reload the app",neutral,neutral,"[0.098329558968544, 0.8455606698989868, 0.05610978975892067]"
1549,Still learning how it works,positive,neutral,"[0.03393588960170746, 0.26978570222854614, 0.69627845287323]"
1550,I liked it. Different for Keanu. Used to him in stuff like The Matrix...but still a good movie.,neutral,positive,"[0.03247792273759842, 0.727337121963501, 0.2401849776506424]"
1551,A scathing report on our food system. Glad it has been exposed. Sure hope it results in changes.,negative,positive,"[0.8068534135818481, 0.15425333380699158, 0.038893185555934906]"
1552,Amazibg game and fun to play. Thanks Rovio®!,positive,positive,"[0.015110023319721222, 0.04973067715764046, 0.9351593255996704]"
1553,Entertaining and charming,positive,positive,"[0.01975034736096859, 0.09408901631832123, 0.886160671710968]"
1554,Not impressed with the game...,neutral,negative,"[0.4675062298774719, 0.508832573890686, 0.023661259561777115]"
1555,This is the album when things realy started to happen in the world of music. Its a MUST!,positive,positive,"[0.023046722635626793, 0.07470468431711197, 0.9022486209869385]"
1556,So corny I couldn't get past the first 15 minutes.,negative,negative,"[0.8568433523178101, 0.12353832274675369, 0.019618306308984756]"
1557,I ain't had no probs. I play it kinda rarely tho.hope to see how accommodating it will be for users,neutral,neutral,"[0.09180595725774765, 0.7585083842277527, 0.14968571066856384]"
1558,I read the book and listened to the audio on whispersync. It was a great experience.,positive,positive,"[0.02145429514348507, 0.11260863393545151, 0.8659371137619019]"
1559,My CD was scratched but it did come yearly then expected,neutral,negative,"[0.3070772886276245, 0.6633127331733704, 0.02960999123752117]"
1560,"What else need be said?  In this age of putrid music, AC/DC still rocks!!!!!!!!!!!",negative,positive,"[0.5532280206680298, 0.18065892159938812, 0.2661130428314209]"
1561,good but I wish the mini games had directions. other then that its a fun app. lots of games to do,neutral,positive,"[0.03945153206586838, 0.685164213180542, 0.2753842771053314]"
1562,Had to reload 3 times. Glitches galore in level 3. No response from customer support.,negative,neutral,"[0.9035197496414185, 0.08300184458494186, 0.013478372246026993]"
1563,"Some great ideas, but a lot of filler and testimonials.",neutral,neutral,"[0.0510433129966259, 0.8106860518455505, 0.13827061653137207]"
1564,He allowed his prejudices to color supposed historical facts.,negative,negative,"[0.46875396370887756, 0.45734739303588867, 0.07389871776103973]"
1565,I loved it as I did all of the books in the Bridgerton series by Julia Quinn.  Great read!!,positive,positive,"[0.015505853109061718, 0.04047021269798279, 0.9440239071846008]"
1566,"It was good but too much hype, didnt live up.",negative,neutral,"[0.5078875422477722, 0.47525978088378906, 0.016852697357535362]"
1567,I liked every page of it!,positive,positive,"[0.021022086963057518, 0.06245584785938263, 0.9165220260620117]"
1568,waste of time !,negative,negative,"[0.9291058778762817, 0.05132676288485527, 0.01956736296415329]"
1569,"A fast read, as most of Connelly's books are.",positive,neutral,"[0.029808495193719864, 0.46202853322029114, 0.5081629753112793]"
1570,Annie is simply at her best all the way !,positive,positive,"[0.048892926424741745, 0.17999674379825592, 0.7711102962493896]"
1571,Metallica kicks ass again!,negative,positive,"[0.7147040963172913, 0.10179963707923889, 0.18349628150463104]"
1572,"Much worse than November man,  Can't believe I paid the price I did.",negative,negative,"[0.8995632529258728, 0.08219216018915176, 0.018244655802845955]"
1573,"Unfortunately,  that doesn't mean much.",neutral,negative,"[0.24952076375484467, 0.7222610712051392, 0.02821812592446804]"
1574,so far its okay. I haven't really played much.,neutral,neutral,"[0.059022944420576096, 0.895224392414093, 0.045752715319395065]"
1575,Poor aplication,negative,negative,"[0.903710126876831, 0.07866133004426956, 0.017628533765673637]"
1576,"I like the book, since it is on one hand a simple story and on the other hand complicated one",neutral,positive,"[0.04439503699541092, 0.6985132694244385, 0.257091760635376]"
1577,Stranded in Hawaii.  Haven't heard this yet but we ALL know it's going to change the world.  Oh yes.,negative,positive,"[0.49422940611839294, 0.3434825539588928, 0.16228799521923065]"
1578,An unusual presentation but interesting.,neutral,neutral,"[0.04929983615875244, 0.8589365482330322, 0.09176360815763474]"
1579,it is a time consuming game that i enjoy playing.,neutral,neutral,"[0.04283749684691429, 0.47864753007888794, 0.47851499915122986]"
1580,All of my Pink favorites are on this one CD. I am enjoying the music.,positive,positive,"[0.020017214119434357, 0.09294571727514267, 0.8870370388031006]"
1581,"it's cute, and funny, I get a kick out of it. a lot of fun to hand off to friends to see them play.",positive,neutral,"[0.023945605382323265, 0.2494465857744217, 0.7266077399253845]"
1582,dont watch this season.,negative,negative,"[0.8054222464561462, 0.14592310786247253, 0.04865460842847824]"
1583,Love Downton Abby and the ability to watch whenever I want in case have to be out on Sunday night.,positive,positive,"[0.01607605256140232, 0.05681270360946655, 0.9271112084388733]"
1584,Works great. Best free antivirus for android.,positive,positive,"[0.01650799624621868, 0.05520842224359512, 0.9282835721969604]"
1585,"The one thing I don't like is that it poops. Why does it do that, but  I really like it anyway.",neutral,neutral,"[0.31624603271484375, 0.6513025164604187, 0.03245149925351143]"
1586,Don't like having to by power ups,neutral,negative,"[0.26511576771736145, 0.691164493560791, 0.04371976852416992]"
